latitude,longitude
48.111131,11.596083
48.109085,11.597116
48.105636,11.598643
48.105037,11.598975
48.103075,11.599882
48.102445,11.600242
48.100351,11.601679
48.096500,11.604140
48.096326,11.604419
48.095984,11.604742
48.095672,11.605111
48.095414,11.605497
48.095156,11.605964
48.094904,11.606575
48.094760,11.607033
48.094598,11.607761
48.094520,11.608336
48.093746,11.626931
48.093608,11.628826
48.093584,11.629733
48.093410,11.631521
48.093026,11.636201
48.092936,11.636992
48.092738,11.638124
48.092474,11.639184
48.092330,11.639633
48.091946,11.640648
48.091748,11.641079
48.091142,11.642193
48.090644,11.642912
48.088814,11.645005
48.086977,11.647053
48.085375,11.648912
48.077994,11.657141
48.077471,11.657797
48.075857,11.660213
48.073540,11.663501
48.063323,11.678377
48.056412,11.688339
48.055326,11.689615
48.047844,11.697529
48.046576,11.698796
48.035081,11.711013
48.034114,11.712100
48.030161,11.716232
48.029674,11.716681
48.028851,11.717202
48.028118,11.717463
48.024189,11.718460
48.023354,11.718613
48.018649,11.719188
48.016018,11.719538
48.015308,11.719556
48.013686,11.719781
48.013091,11.719933
48.012478,11.720167
48.011901,11.720445
48.011330,11.720796
48.007496,11.723589
48.005933,11.724766
48.005080,11.725503
48.002351,11.728180
48.001552,11.728979
48.001185,11.729419
48.000716,11.730129
47.999761,11.731917
47.999436,11.732465
47.998907,11.733183
47.998528,11.733552
47.998300,11.733749
47.996707,11.734809
47.993888,11.736597
47.991633,11.738169
47.990461,11.739130
47.989727,11.739822
47.988753,11.740855
47.988206,11.741520
47.987449,11.742508
47.986481,11.743972
47.979933,11.754770
47.978898,11.756387
47.978105,11.757456
47.970858,11.766888
47.968993,11.769269
