latitude,longitude
48.353772,11.786130
48.353653,11.783929
48.352095,11.763735
48.350429,11.742625
48.350298,11.741169
48.350053,11.739912
48.349939,11.739418
48.349587,11.738061
48.349151,11.736750
48.348948,11.736229
48.348465,11.735178
48.347916,11.734154
48.345515,11.730210
48.344847,11.729258
48.344262,11.728503
48.343300,11.727389
48.342572,11.726653
48.341157,11.725422
48.339843,11.724497
48.339031,11.724012
48.334015,11.721245
48.332600,11.720589
48.331698,11.720248
48.330002,11.719727
48.328449,11.719385
48.323700,11.718891
48.322619,11.718721
48.321138,11.718388
48.320122,11.718083
48.314579,11.716232
48.313593,11.715846
48.309321,11.714382
48.300854,11.711247
48.299946,11.710995
48.298727,11.710788
48.297502,11.710726
48.295308,11.710815
48.294478,11.710815
48.293420,11.710752
48.288901,11.710043
48.288082,11.709935
48.286929,11.709863
48.285590,11.709899
48.278637,11.710339
48.277023,11.710384
48.275594,11.710348
48.268551,11.709809
48.266434,11.709531
48.265035,11.709243
48.263606,11.708866
48.262661,11.708570
48.260747,11.707860
48.259635,11.707384
48.258409,11.706800
48.256866,11.705955
48.255550,11.705147
48.254443,11.704392
48.253080,11.703377
48.251195,11.701814
48.249491,11.700206
48.234432,11.684144
48.232936,11.682617
48.232140,11.681917
48.231746,11.681620
48.231081,11.681216
48.230160,11.680767
48.227808,11.679922
48.225797,11.679455
48.220339,11.678251
48.219250,11.677982
48.218220,11.677650
48.217059,11.677137
48.215682,11.676401
48.214354,11.675431
48.213258,11.674496
48.211995,11.673239
48.211103,11.672179
48.193872,11.649694
48.192967,11.648715
48.192482,11.648338
48.190243,11.646891
48.187847,11.645589
48.185679,11.644331
48.184948,11.643981
48.184290,11.643756
48.183523,11.643612
48.182493,11.643612
48.181726,11.643756
48.180289,11.644223
48.179624,11.644313
48.179079,11.644538
48.178072,11.644861
48.177497,11.645005
48.176305,11.645202
48.174915,11.645301
48.170800,11.645346
48.170093,11.645445
48.167606,11.646011
48.164137,11.646864
48.162579,11.647367
48.161399,11.647646
48.160290,11.647852
48.156761,11.648346
48.152686,11.648921
48.151763,11.649110
48.149635,11.649308
48.141322,11.650296
48.140135,11.650655
48.138966,11.651122
48.138246,11.651329
48.137527,11.651374
48.137209,11.651320
48.136826,11.651185
48.136370,11.650925
48.136034,11.650637
48.135525,11.650017
48.135279,11.649622
48.135027,11.649056
48.134745,11.648077
48.134607,11.647017
48.134631,11.645885
48.135327,11.640235
48.135423,11.639175
48.135447,11.638546
48.135441,11.637746
48.135411,11.637216
48.135153,11.634908
48.135111,11.633946
48.135225,11.632051
48.135381,11.630263
48.135399,11.629149
48.135117,11.621720
48.135057,11.621047
48.134721,11.618972
48.134356,11.616573
48.134248,11.615980
48.133942,11.614776
48.133714,11.614130
48.133474,11.613591
48.133187,11.613061
48.132701,11.612270
48.129937,11.608785
48.127431,11.604958
48.126795,11.604069
48.126100,11.602658
48.125938,11.602236
48.125794,11.601688
48.125710,11.601149
48.125674,11.600664
48.125656,11.600215
48.125668,11.599757
48.125728,11.599307
48.125830,11.598885
48.126010,11.598355
48.126273,11.597825
48.128216,11.594600
48.129187,11.593073
48.131190,11.589965
48.131520,11.589390
48.131766,11.588842
48.131904,11.588447
48.132335,11.586731
48.132797,11.585518
48.133348,11.584386
48.134212,11.583138
48.135201,11.581494
48.135417,11.581036
48.135758,11.579976
48.136322,11.577838
48.136850,11.576436
48.137143,11.575394
48.137767,11.572619
48.138156,11.571343
48.138300,11.570705
48.138384,11.570166
48.138480,11.569115
