latitude,longitude
47.945586,11.289029
47.944767,11.288634
47.944166,11.288481
47.943119,11.288508
47.939568,11.289326
47.938978,11.289434
47.938485,11.289452
47.937991,11.289434
47.931449,11.288445
47.930703,11.288266
47.920753,11.285140
47.920452,11.285014
47.919711,11.284565
47.919079,11.284062
47.915569,11.281034
47.915142,11.280621
47.914780,11.280172
47.914479,11.279732
47.912781,11.277010
47.912522,11.276651
47.911926,11.276004
47.911204,11.275456
47.910168,11.274773
47.909126,11.274162
47.907091,11.272860
47.907109,11.272797
